Z1,Z2,W,T,M,Y
0.6967141530112326,0.06430105390255567,0.8853075099133498,0,1,0
0.061735698828815355,0.13890010738926944,0.14442557113662308,1,1,1
0.8476885381006924,0.08052378779097143,-0.28633346442222796,1,0,0
1.7230298564080253,0.22208360938922392,1.8193940393860477,1,0,1
-0.03415337472333596,0.4394357062923826,-2.136030701636956,1,1,0
-0.034136956949180536,0.04579156857175909,-0.7490157830150538,1,1,0
1.7792128155073914,0.4001640995536828,-0.9580260183163114,1,0,0
0.9674347291529088,0.04366558553062247,2.3681859534575613,0,0,1
-0.2694743859349521,0.030474557500623167,-0.5167408217876248,1,1,0
0.7425600435859647,0.36371892366864267,2.3259815809075803,0,0,1
-0.26341769281246225,0.38438727560152336,0.027731817146146254,0,0,0
-0.26572975357025685,0.3702819873525309,-0.30945334715574996,1,1,1
0.4419622715660341,-0.06315948164362822,-0.10003837557048911,1,0,1
-1.713280244657798,0.10680980438558985,-2.7378359820192637,1,0,0
-1.5249178325130328,0.3645977184006643,-1.3598912811257144,0,0,0
-0.3622875292409727,0.20830836811277892,-0.689204500947748,1,1,1
-0.8128311203344238,-0.01473856923949285,-2.0501843268509923,1,0,0
0.5142473325952739,0.2916635878250884,-1.4623648401276959,1,1,0
-0.7080240755212108,0.057038548201705924,-1.6757793645950618,1,0,0
-1.2123037013352915,0.5589049696784425,-0.0525730634853514,0,1,1
1.665648768921554,0.5089682924836517,2.99980620056359,0,1,1
-0.025776300486535647,0.3208194852711135,-0.2673568025085311,0,0,0
0.2675282046879238,0.4722013409539547,-0.27136369687511674,1,1,0
-1.2247481862134568,0.21295827002467624,-1.736735317456179,0,0,0
-0.34438272452518265,0.3530874988750032,-1.738752298807171,1,1,0
0.3109225897098661,0.495544059060415,0.9612477056615425,0,1,0
-0.9509935774223028,0.24909973635886257,0.6689425433146556,0,1,0
0.5756980183456719,0.14896256569714328,-0.5838384613041814,1,0,1
-0.40063868991880497,-0.1409243916354232,-0.2461190510619336,1,1,0
-0.09169374979327677,0.18337329485570122,-0.7891132883220987,0,1,0
-0.4017066122293969,0.3646846369124623,-1.2923335175488815,1,1,0
2.0522781845089377,0.38912668551352597,2.4881812617689696,0,1,1
0.1865027752620661,0.300873013143682,-1.565331266031417,1,1,0
-0.8577109289559004,0.09174018100755205,-0.43390639853457696,0,0,0
1.022544912103189,-0.19536431378951813,1.9220385675040612,0,1,1
-1.0208436499710223,0.10095698039905299,-1.2022502311344136,0,1,1
0.40886359500475544,0.13913102578920972,1.066261626386159,0,1,1
-1.7596701238797756,0.13741420656199718,-1.6284311601411439,0,0,0
-1.1281860488984305,0.3237112713955849,-0.2514333028062943,1,0,0
0.39686123586912353,0.597135282202968,-2.0010195877277983,1,0,0
0.9384665799954104,0.2247058403682186,0.18125648447349407,0,1,1
0.3713682811899705,0.15665364216870767,0.04310321118374813,1,1,1
0.08435171761175948,0.1481556373991815,-2.80370873097962,1,0,0
